,0,1
310,summeranne,3
311,peter_hofstad,1
312,boxofficepoison,7
313,machomanmario,6
314,griffinzane,7
315,moshjurray,6
316,alexfleek,6
317,lancelubelski,1
318,dan_tebasco,6
319,empstrikesback,6
320,stockton2vlone,6
321,timothymcmanus,5
322,wexmick,6
323,tristiac,5
324,roshambo,6
325,billpaxtons,6
326,greg_wood,8
327,elledriver,8
328,kpitman,4
329,bored_dangerous,5
330,carisrianne,5
331,leonorathelion,5
332,shortcut,9
333,otxjunior,7
334,halashby9000,7
335,jb_86,5
336,gaafgaaf,6
337,juliec,5
338,irtaza,5
339,jimmymarkum,6
340,carloslaron,8
341,gambastv,6
342,drjonty,8
343,jaundicebaby,7
344,iloveweed,7
345,gremiin,4
346,andreuguille,7
347,ohliviuhp,10
348,darlingdelmar,6
349,samuel56,9
350,inventedpostits,7
351,hulkbuster5025,7
352,rollinstone88,5
353,lilia_paige,4
354,chivestheonion,6
355,riles154,4
356,paddyconsidine,5
357,suraa,8
358,yeahwow,8
359,georgetown,5
360,benwinter,4
361,jiackin,7
362,samcmac,6
363,mrv,10
364,mariannamr,8
365,isabcllc,7
366,asyouman,5
367,kingkermit,9
368,belooshdad,7
369,therealschmarm,8
370,neenaamm,5
371,emaanaanwar,4
372,itsacriticalhit,8
373,jlescano,6
374,astalavista,8
375,oons,4
376,luisvvv,6
377,jonm,6
378,wastelandbabys,5
379,iciarvc,6
380,freesamfree21,5
381,celiasml14,7
382,iiian,8
383,sareyhayden,7
384,bootymouse,5
385,kmdorman,7
386,danigirllll,6
387,mallorymaybin,7
388,rosiekw,5
389,ashryn3,4
390,nicole_ewing7,5
391,camelreading,8
392,szpowell,8
393,milkyway2,7
394,winsteady,5
395,thebatmeth,6
396,owenwilsonswow,7
397,duplexdan,3
398,michaelknotts,6
399,erphan,7
400,kayfaux,7
401,theacadame,6
402,jacknapier14,2
403,emanzilber,6
404,thejustinquinn,7
405,hannahrose25,6
406,jokerlover13,2
407,cattbutt,7
408,breefierro,6
409,veemasterr,7
410,joegillis331,10
411,forlines,6
412,siddrizzle333,8
413,lsharapata,8
414,metcalfje,8
415,bensinger3,7
416,zmotime,6
417,katewalshs,8
418,rayonfilm,3
419,jamieeknox,7
420,localfruity,6
421,tomimendel,6
422,sendintheclowns,4
423,candacejane,7
424,moviereviewmatt,8
425,secondknife,7
426,jveden,7
427,chicolasneshire,6
428,danigroman,8
429,tuckersomberg,5
430,roffir,7
431,imanqadri,8
432,lukeswan3,7
433,gracecraichy,8
434,elvasquito,8
435,scriptipps,8
436,casssidean,10
437,chandlerprejean,8
438,ryantib,4
439,skizziar,7
440,emmaroseup,7
441,sca,7
442,savannahlwray,10
443,shalinee,5
444,alysefran,7
445,sabrinarheaaa,7
446,avedon_arcade,7
447,joshywinty,9
448,lucidprincus,4
449,roirene,8
450,alliebd,6
451,theameer,6
452,katy_2020,6
453,makaylapolak,4
454,emmykane,7
455,nickquinlan,8
456,cinephile_alex,7
457,dylan417,7
458,lexipex,4
459,wcknapp,8
460,phyli,4
461,loganmitchell,7
462,vitruvian,4
463,tapit12002,8
464,peterbmacd,4
465,amateurdirector,7
466,zoezaharis,10
467,alicewinter,1
468,reaganfg,5
469,mparmentier15,5
470,scsimatrix,8
471,kaylalyakm,8
472,alicedecides,6
473,goodmorningtext,10
474,carriecourogen,5
475,tinybabyhorse,6
476,raytheripper,6
477,andrewnickerson,8
478,lostbyfilms,9
479,merpyx,5
480,danieldvargas,5
481,hellothisissean,6
482,belushiblues,10
483,thrasherboyx,10
484,jackwilly05,8
485,kavanaugh310,4
486,kesjack,7
487,bneve,8
488,eenchvnted,6
489,mmassarelli,7
490,anacarolaar,8
491,andreagai,4
492,synkw,5
493,thatperson_ez,8
494,mara121,6
495,iriamr27,6
496,selberya,2
497,gonzahellis,7
498,albaetc,7
499,xinazomber,6
500,elphabaanne,8
501,joeyl,4
502,likreddy,6
503,julibos,8
504,jgaughan23,6
505,jemiscool,7
506,antonioagregado,7
507,katewalsh,6
508,nicolegole,10
509,garebear__11,3
510,emilianogenez,7
511,saracse,6
512,cin3maticmak3r,6
513,angeltread,8
514,laurani,5
515,nickyparson,8
516,demachine9,6
517,shylocc,6
518,gtsiv,6
519,rwbrta,7
