,0
0,luizav
1,lexadyke
2,capirojesca
3,lomomolo
4,thaluua
5,lollyvomito
6,pablovillaca
7,isaluft
8,karoles
9,bruninha
10,kadu_mendes
11,ufoisis
12,ziggystardust_x
13,emanuelesd
14,rodrigodrbs
15,_luizito
16,tancredopepe
17,elisacmdlli
18,valeskagsilva
19,marcodut
20,gooz
21,aiaisol
22,lab4utas
23,sarahmnteiro
24,srirachachau
25,lsaturn
26,rewindingtapes
27,niqea
28,prchzkova
29,leonardomacedo
30,negrinilaura
31,aquelepinguim
32,clandestini
33,lucazr
34,acrlsv
35,fernandocosta00
36,tsudalua
37,rlo1804
38,gottliebruna
39,clara_barreto
40,pbp1980
41,giovannapalanga
42,biancagomees
43,beatries
44,anacaroles
45,cecilia7
46,bibianaslva
47,lafup
48,belledejou
49,brendalombaldo
50,carolineeee
51,nikphobia
52,gabrieladelimma
53,slvlidia
54,mar_esia
55,b_10
56,veronap
57,kerllin
58,piecesofwhut
59,karolynpetrucci
60,kmf
61,cristodeschini
62,jobernardes
63,mthsgnclvs
64,zatta
65,maucardoso_
66,nataliaalbieri
67,larissajmar
68,adrianascarpin
69,luccawestphal
70,matheusfiore
71,razabu
72,rafaelfferreira
73,pedroleite82
74,gosxh
75,ericampi
76,colonelmortimer
77,silversaxophone
78,gustavmenezes
79,malimali
80,frodu
81,anadin
82,filipe_furtado
83,conradoheoli
84,rsbaumann
85,visiolis
86,niva
87,tuoto
88,iwittmann
89,barbarademerov
90,vlademirlazo
91,xdddre
92,satanasio
93,lilfilm
94,anawithac
95,agrobusiness
96,maiconfirmiano
97,maamoraes
